//ItemType	ItemIndex	ItemLevel	ItemName
8	7	0	"Sphinx Armor"						
8	8	0	"Brass Armor"						
8	9	0	"Plate Armor"						
8	10	0	"Vine Armor"						
8	11	0	"Silk Armor"						
8	12	0	"Wind Armor"						
8	13	0	"Spirit Armor"						
8	14	0	"Guardian Armor"					
8	15	0	"Storm Crow Armor"					
8	16	0	"Black Dragon Armor"				
8	17	0	"Dark Phoenix Armor"				
8	18	0	"Grand Soul Armor"					
8	19	0	"Divine Armor"						
8	20	0	"Thunder Hawk Armor"				
8	21	0	"Great Dragon Armor"				
8	22	0	"Dark Soul Armor"					
8	23	0	"Hurricane Armor"					
8	24	0	"Red Spirit Armor"					
8	25	0	"Light Plate Armor"					
8	26	0	"Adamantine Armor"					
8	27	0	"Dark Steel Armor"					
8	28	0	"Dark Master Armor"					
8	29	0	"Dragon Knight Armor"				
8	30	0	"Venom Mist Armor"					
8	31	0	"Sylphid Ray Armor"					
8	32	0	"Volcano Armor"						
8	33	0	"Sunlight Armor"					
8	34	0	"Ashcrow Armor"						
8	35	0	"Eclipse Armor"						
8	36	0	"Iris Armor"						
8	37	0	"Valiant Armor"						
8	38	0	"Glorious Armor"					
8	39	0	"Archon Guardian Armor"				
9	0	0	"Bronze Pants"						
9	1	0	"Dragon Pants"						
9	2	0	"Pad Pants"							
9	3	0	"Legendary Pants"					
9	4	0	"Bone Pants"						
9	5	0	"Leather Pants"						
9	6	0	"Scale Pants"						
9	7	0	"Sphinx Pants"						
9	8	0	"Brass Pants"						
9	9	0	"Plate Pants"						
9	10	0	"Vine Pants"						
9	11	0	"Silk Pants"						
9	12	0	"Wind Pants"						
9	13	0	"Spirit Pants"						
9	14	0	"Guardian Pants"					
9	15	0	"Storm Crow Pants"					
9	16	0	"Black Dragon Pants"				
9	17	0	"Dark Phoenix Pants"				
9	18	0	"Grand Soul Pants"					
9	19	0	"Divine Pants"						
9	20	0	"Thunder Hawk Pants"				
9	21	0	"Great Dragon Pants"				
9	22	0	"Dark Soul Pants"					
9	23	0	"Hurricane Pants"					
9	24	0	"Red Spirit Pants"					
9	25	0	"Light Plate Pants"					
9	26	0	"Adamantine Pants"					
9	27	0	"Dark Steel Pants"					
9	28	0	"Dark Master Pants"					
9	29	0	"Dragon Knight Pants"				
9	30	0	"Venom Mist Pants"					
9	31	0	"Sylphid Ray Pants"					
9	32	0	"Volcano Pants"						
9	33	0	"Sunlight Pants"					
9	34	0	"Ashcrow Pants"						
9	35	0	"Eclipse Pants"						
9	36	0	"Iris Pants"						
9	37	0	"Valiant Pants"						
9	38	0	"Glorious Pants"					
9	39	0	"Archon Guardian Pants"				
10	0	0	"Bronze Gloves"						
10	1	0	"Dragon Gloves"						
10	2	0	"Pad Gloves"						
10	3	0	"Legendary Gloves"					
10	4	0	"Bone Gloves"						
10	5	0	"Leather Gloves"					
10	6	0	"Scale Gloves"						
10	7	0	"Sphinx Gloves"						
10	8	0	"Brass Gloves"						
10	9	0	"Plate Gloves"						
10	10	0	"Vine Gloves"						
10	11	0	"Silk Gloves"						
10	12	0	"Wind Gloves"						
10	13	0	"Spirit Gloves"						
10	14	0	"Guardian Gloves"					
10	15	0	"Storm Crow Gloves"					
10	16	0	"Black Dragon Gloves"				
10	17	0	"Dark Phoenix Gloves"				
10	18	0	"Grand Soul Gloves"					
10	19	0	"Divine Gloves"						
10	20	0	"Thunder Hawk Gloves"				
10	21	0	"Great Dragon Gloves"				
10	22	0	"Dark Soul Gloves"					
10	23	0	"Hurricane Gloves"					
10	24	0	"Red Spirit Gloves"					
10	25	0	"Light Plate Gloves"				
10	26	0	"Adamantine Gloves"					
10	27	0	"Dark Steel Gloves"					
10	28	0	"Dark Master Gloves"				
10	29	0	"Dragon Knight Gloves"				
10	30	0	"Venom Mist Gloves"					
10	31	0	"Sylphid Ray Gloves"				
10	32	0	"Volcano Gloves"					
10	33	0	"Sunlight Gloves"					
10	34	0	"Ashcrow Gloves"					
10	35	0	"Eclipse Gloves"					
10	36	0	"Iris Gloves"						
10	37	0	"Valiant Gloves"					
10	38	0	"Glorious Gloves"					
10	39	0	"Archon Guardian Gloves"			
11	0	0	"Bronze Boots"						
11	1	0	"Dragon Boots"						
11	2	0	"Pad Boots"							
11	3	0	"Legendary Boots"					
11	4	0	"Bone Boots"						
11	5	0	"Leather Boots"						
11	6	0	"Scale Boots"						
11	7	0	"Sphinx Boots"						
11	8	0	"Brass Boots"						
11	9	0	"Plate Boots"						
11	10	0	"Vine Boots"						
11	11	0	"Silk Boots"						
11	12	0	"Wind Boots"						
11	13	0	"Spirit Boots"						
11	14	0	"Guardian Boots"					
11	15	0	"Storm Crow Boots"					
11	16	0	"Black Dragon Boots"				
11	17	0	"Dark Phoenix Boots"				
11	18	0	"Grand Soul Boots"					
11	19	0	"Divine Boots"						
11	20	0	"Thunder Hawk Boots"				
11	21	0	"Great Dragon Boots"				
11	22	0	"Dark Soul Boots"					
11	23	0	"Hurricane Boots"					
11	24	0	"Red Spirit Boots"					
11	25	0	"Light Plate Boots"					
11	26	0	"Adamantine Boots"					
11	27	0	"Dark Steel Boots"					
11	28	0	"Dark Master Boots"					
11	29	0	"Dragon Knight Boots"				
11	30	0	"Venom Mist Boots"					
11	31	0	"Sylphid Ray Boots"					
11	32	0	"Volcano Boots"						
11	33	0	"Sunlight Boots"					
11	34	0	"Ashcrow Boots"						
11	35	0	"Eclipse Boots"						
11	36	0	"Iris Boots"						
11	37	0	"Valiant Boots"						
11	38	0	"Glorious Boots"					
11	39	0	"Archon Guardian Boots"				
12	0	0	"Wings of Elf"						
12	1	0	"Wings of Heaven"					
12	2	0	"Wings of Satan"					
12	3	0	"Wings of Spirits"					
12	4	0	"Wings of Soul"						
12	5	0	"Wings of Dragon"					
12	6	0	"Wings of Darkness"					
12	7	0	"Orb of Twisting Slash"				
12	8	0	"Healing Orb"						
12	9	0	"Orb of Greater Defense"			
12	10	0	"Orb of Greater Damage"				
12	11	0	"Orb of Summoning"					
12	12	0	"Orb of Rageful Blow"				
12	13	0	"Orb of Impale"						
12	14	0	"Orb of Greater Fortitude"			
12	15	0	"Jewel of Chaos"					
12	16	0	"Orb of Fire Slash"					
12	17	0	"Orb of Penetration"				
12	18	0	"Orb of Ice Arrow"					
12	19	0	"Orb of Death Stab"					
12	21	0	"Scroll of FireBurst"				
12	22	0	"Scroll of Summon"					
12	23	0	"Scroll of Critical Damage"			
12	24	0	"Scroll of Electric Spark"			
12	26	0	"Gem of Secret"						
12	30	0	"Bundled Jewel of Bless"			
12	31	0	"Bundled Jewel of Soul"				
12	32	0	"Chaos Castle Box"					
12	33	0	"Illusion Temple Box"				
12	34	0	"Blood Castle Box"					
12	35	0	"Scroll of Fire Scream"				
12	36	0	"Wings of Storm"	    			
12	37	0	"Wings of Space-Time"				
12	38	0	"Wings of Illusion"	    			
12	39	0	"Wings of Doom"         			
12	40	0	"Mantle of Monarch"	    			
12	41	0	"Wings of Angel"	    			
12	42	0	"Wings of Power"	    			
12	43	0	"Wings of Butterfly"	    		
12	44	0	"Wings of Dream"	    			
12	45	0	"Mantle of Darkness"	    		
13	0	0	"Guardian Angel"					
13	1	0	"Imp"								
13	2	0	"Horn of Uniria"					
13	3	0	"Horn of Dinorant"					
13	4	0	"Dark Horse"						
13	5	0	"Dark Raven"						
13	7	0	"Contract (Summon)"					
13	8	0	"Ring of Ice"						
13	9	0	"Ring of Poison"					
13	10	0	"Transformation Ring"				
13	11	0	"Order (Guardian/Life Stone)"		
13	12	0	"Pendant of Lightning"				
13	13	0	"Pendant of Fire"					
13	14	0	"Loch's Feather"					
13	15	0	"Fruit"								
13	16	0	"Scroll of Archangel"				
13	17	0	"Blood Bone"						
13	18	0	"Cloak of Invisibility"				
13	19	0	"Divine Weapon of Archangel"		
13	20	0	"Wizards Ring"						
13	21	0	"Ring of Fire"						
13	22	0	"Ring of Earth"						
13	23	0	"Ring of Wind"						
13	24	0	"Ring of Magic"						
13	25	0	"Pendant of Ice"					
13	26	0	"Pendant of Wind"					
13	27	0	"Pendant of Water"					
13	28	0	"Pendant of Ability"				
13	29	0	"Armor of Guardsman"				
13	30	0	"Cape of Lord"						
13	31	0	"Spirit"							
13	32	0	"Splinter of Armor"					
13	33	0	"Bless of Guardian"					
13	34	0	"Claw of Beast"						
13	35	0	"Fragment of Horn"					
13	36	0	"Broken Horn"						
13	37	0	"Horn of Fenrir"					
13	38	0	"Moonstone Ring"					
13	39	0	"Skeleton Warrior Ring"				
13	40	0	"Jack O'Lantern Ring"				
13	41	0	"Santa Girl Ring"					
13	42	0	"GameMaster Ring"					
13	43	0	"Seal of Ascension"					
13	44	0	"Seal of Wealth"					
13	45	0	"Seal of Sustenance"				
13	46	0	"Blessed Devil Invasion"			
13	47	0	"Blessed invisibility Cloak" 		
13	48	0	"Blessed Lost Map"					
13	49	0	"Old Scroll"						
13	50	0	"Illusion Sorcerer Covenant" 		
13	51	0	"Scroll of Blood"					
13	52	0	"Flame of Condor"					
13	53	0	"Feather of Condor"					
13	54	0	"Reset Fruit Strength"				
13	55	0	"Reset Fruit Agility"				
13	56	0	"Reset Fruit Vitality"				
13	57	0	"Reset Fruit Energy"				
13	58	0	"Reset Fruit Command"				
13	59	0	"Seal of Mobility"					
13	61	0	"illiusion temple ticket"			
14	0	0	"Apple"					
14	1	0	"Small Healing Potion"	
14	2	0	"Medium Healing Potion"	
14	3	0	"Large Healing Potion"	
14	4	0	"Small Mana Potion"		
14	5	0	"Medium Mana Potion"	
14	6	0	"Large Mana Potion"		
14	7	0	"Siege Potion"			
14	8	0	"Antidote"				
14	9	0	"Ale"					
14	10	0	"Town Portal Scroll"	
14	11	0	"Box of Luck"			
14	12	0	"Heart"					
14	13	0	"Jewel of Bless"		
14	14	0	"Jewel of Soul"			
14	15	0	"Zen"					
14	16	0	"Jewel of Life"			
14	17	0	"Devil's Eye"			
14	18	0	"Devil's Key"			
14	19	0	"Devil's Invitation"	
14	20	0	"Remedy of Love"		
14	21	0	"Rena"					
14	22	0	"Jewel of Creation"		
14	23	0	"Scroll of Emperor"		
14	24	0	"Broken Sword"			
14	25	0	"Tear of Elf"			
14	26	0	"Soul Shard of Wizard"	
14	28	0	"Lost Map"				
14	29	0	"Symbol of Kundun"		
14	31	0	"Jewel of Guardian"		
14	32	0	"Pink Chocolate Box"	
14	33	0	"Red Chocolate Box"		
14	34	0	"Blue Chocolate Box"	
14	35	0	"Small SD Potion"		
14	36	0	"Medium SD Potion"		
14	37	0	"Large SD Potion"		
14	38	0	"Small AG Potion"		
14	39	0	"Medium AG Potion"		
14	40	0	"Large AG Potion"		
14	41	0	"Gemstone"				
14	42	0	"Jewel of Harmony"		
14	43	0	"Lower Refining Stone"	
14	44	0	"Higher Refining Stone"	
14	45	0	"Halloween Pumpkin"					
14	46	0	"Jack O'Lantern Bless Scroll"		
14	47	0	"Jack O'Lantern Rage Scroll"		
14	48	0	"Jack O'Lantern Scream Scroll"		
14	49	0	"Jack O'Lantern Food Scroll"		
14	50	0	"Jack O'Lantern Drink Scroll"		
14	51	0	"Star"								
14	52	0	"GameMaster Box"					
14	53	0	"Symbol of luck"					
14	54	0	"Chaos Card"						
14	55	0	"Green Chaos Box"					
14	56	0	"Pink Chaos Box"					
14	57	0	"Purple Chaos Box"					
14	58	0	"Rare item Ticket 1"				
14	59	0	"Rare item Ticket 2"				
14	60	0	"Rare item Ticket 3"				
14	61	0	"Rare item Ticket 4"				
14	62	0	"Rare item Ticket 5"				
14	63	0	"Firecracker"						
14	64	0	"Cursed Castle Water"				
14	65	0	"Flame of Death Beam Knight"		
14	66	0	"Horn of Hell Maine"				
14	67	0	"Feather of Phoenix of Darkness"	
14	70	0	"Enhanced Healing Potion"			
14	71	0	"Enhanced Mana Potion"				
14	72	0	"Scroll of Quickness"				
14	73	0	"Scroll of Shield"					
14	74	0	"Scroll of Might"					
14	75	0	"Scroll of Empower"					
14	76	0	"Scroll of Bless the Body"			
14	77	0	"Scroll of Bless the Soul"			
14	78	0	"Potion: increasing Strength"		
14	79	0	"Potion: increasing Agility"		
14	80	0	"Potion: increasing Vitality"		
14	81	0	"Potion: increasing Energy"			
14	82	0	"Potion: increasing Command"		
14	83	0	"Rare Item Ticket 6"				
14	84	0	"Moss The Merchant Item 1"		
14	85	0	"Moss The Merchant Item 2"		
14	86	0	"Moss The Merchant Item 3"		
14	87	0	"Moss The Merchant Item 4"		
14	88	0	"Moss The Merchant Item 5"		
14	89	0	"Scorpion Mobility"				
14	90	0	"Jewel Of Exellent"	
14	91	0	"Jewel Of Wings"	
14	92	0	"Jewel Of Luck"		
14	93	0	"Jewel Of Skill"	
14	95	0	"Jewel Of Evalution"
14	96	0	"Jewel Of Ancent"	
14	97	0	"Jewel Of Option"	
14	98	0	"Jewel Of PvP"		
14	99	0	"Jewel Of Mistic"	
14	100	0	"Jewel Of Level"	
14	102	0	"Coin 100kk"        
14	103	0	"Coin 500kk"        
14	104	0	"Coin 1kkk"         
14	105	0	"BC Box"			
14	106	0	"CC Box"			
14	107	0	"DS Box"			
14	147	0	"Test"				
14	150	0	"Amulet"			
14	151	0	"Amulet"			
14	152	0	"Amulet"			
14	153	0	"Amulet"			
14	154	0	"Amulet"			
14	155	0	"Amulet"			
14	156	0	"Amulet"			
15	0	0	"Scroll of Poison"		
15	1	0	"Scroll of Meteorite"	
15	2	0	"Scroll of Lighting"	
15	3	0	"Scroll of Fire Ball"	
15	4	0	"Scroll of Flame"		
15	5	0	"Scroll of Teleport"	
15	6	0	"Scroll of Ice"			
15	7	0	"Scroll of Twister"		
15	8	0	"Scroll of Evil Spirit"	
15	9	0	"Scroll of Hellfire"	
15	10	0	"Scroll of Power Wave"	
15	11	0	"Scroll of Aqua Beam"	
15	12	0	"Scroll of Cometfall"	
15	13	0	"Scroll of Inferno"		
15	14	0	"Scroll of Teleport"	
15	15	0	"Scroll of Soul Barrier"
15	16	0	"Scroll of Decay"		
15	17	0	"Scroll of Ice Storm"	
15	18	0	"Scroll of Nova"	

//ItemType	ItemIndex	ItemLevel	ItemName
000.gif	"Kris"								
010.gif	"Short Sword"						
020.gif	"Rapier"							
030.gif	"Katana"							
040.gif	"Sword of Assassin"					
050.gif	"Blade"								
060.gif	"Gladius"							
070.gif	"Falchion"							
080.gif	"Serpent Sword"						
090.gif	"Sword of Salamander"				
0100.gif	"Light Saber"						
0110.gif	"Legendary Sword"					
0120.gif	"Heliacal Sword"					
0130.gif	"Double Blade"						
0140.gif	"Lightning Sword"					
0150.gif	"Giant Sword"						
0160.gif	"Sword of Destruction"				
0170.gif	"Dark Breaker"						
0180.gif	"Thunder Blade"						
0190.gif	"Divine Sword of Archangel"			
0200.gif	"Knight Blade"						
0210.gif	"Dark Reign Blade"					
0220.gif	"Bone Blade"						
0230.gif	"Explosion Blade"					
0240.gif	"Daybreak"							
0250.gif	"Sword Dancer"						
0260.gif	"Archon Guardian Blade"				
0310.gif	"Rune Blade"						
100.gif	"Small Axe"							
110.gif	"Hand Axe"							
120.gif	"Double Axe"						
130.gif	"Tomahawk"							
140.gif	"Elven Axe"							
150.gif	"Battle Axe"						
160.gif	"Nikea Axe"							
170.gif	"Larkan Axe"						
180.gif	"Crescent Axe"						
200.gif	"Mace"								
210.gif	"Morning Star"						
220.gif	"Flail"								
230.gif	"Great Hammer"						
240.gif	"Crystal Morning Star"				
250.gif	"Crystal Sword"						
260.gif	"Chaos Dragon Axe"					
270.gif	"Elemental Mace"					
280.gif	"Battle Scepter"					
290.gif	"Master Scepter"					
2100.gif	"Great Scepter"						
2110.gif	"Lord Scepter"						
2120.gif	"Great Lord Scepter"				
2130.gif	"Divine Scepter of Archangel"		
2140.gif	"Solay Scepter"						
2150.gif	"Shining Scepter"					
300.gif	"Light Spear"						
310.gif	"Spear"								
320.gif	"Dragon Lance"						
330.gif	"Giant Trident"						
340.gif	"Serpent Spear"						
350.gif	"Double Poleaxe"					
360.gif	"Halberd"							
370.gif	"Berdysh"							
380.gif	"Great Scythe"						
390.gif	"Bill of Balrog"					
3100.gif	"Dragon Spear"						
400.gif	"Short Bow"							
410.gif	"Bow"								
420.gif	"Elven Bow"							
430.gif	"Battle Bow"						
440.gif	"Tiger Bow"							
450.gif	"Silver Bow"						
460.gif	"Chaos Nature Bow"					
470.gif	"Bolts"								
480.gif	"Crossbow"							
490.gif	"Golden Crossbow"					
4100.gif	"Arquebus"							
4110.gif	"Light Crossbow"					
4120.gif	"Serpent Crossbow"					
4130.gif	"Bluewing Crossbow"					
4140.gif	"Aquagold Crossbow"					
4150.gif	"Arrows"							
4160.gif	"Saint Crossbow"					
4170.gif	"Celestial Bow"						
4180.gif	"Divine Crossbow of Archangel"		
4190.gif	"Great Reign Crossbow"				
4200.gif	"Arrow Viper Bow"					
4210.gif	"Sylph Wind Bow"					
4220.gif	"Albatross Bow"						
500.gif	"Skull Staff"						
510.gif	"Angelic Staff"						
520.gif	"Serpent Staff"						
530.gif	"Thunder Staff"						
540.gif	"Gorgon Staff"						
550.gif	"Legendary Staff"					
560.gif	"Staff of Resurrection"				
570.gif	"Chaos Lightning Staff"				
580.gif	"Staff of Destruction"				
590.gif	"Dragon Soul Staff"					
5100.gif	"Divine Staff of Archangel"			
5110.gif	"Staff of Kundun"					
5120.gif	"Grand Viper Staff"					
5130.gif	"Platina Wing Staff"				
600.gif	"Small Shield"						
610.gif	"Horn Shield"						
620.gif	"Kite Shield"						
630.gif	"Elven Shield"						
640.gif	"Buckler"							
650.gif	"Dragon Slayer Shield"				
660.gif	"Skull Shield"						
670.gif	"Spiked Shield"						
680.gif	"Tower Shield"						
690.gif	"Plate Shield"						
6100.gif	"Large Round Shield"				
6110.gif	"Serpent Shield"					
6120.gif	"Bronze Shield"						
6130.gif	"Chaos Dragon Shield"				
6140.gif	"Legendary Shield"					
6150.gif	"Grand Soul Shield"					
6160.gif	"Elemental Shield"					
700.gif	"Bronze Helm"						
710.gif	"Dragon Helm"						
720.gif	"Pad Helm"							
730.gif	"Legendary Helm"					
740.gif	"Bone Helm"							
750.gif	"Leather Helm"						
760.gif	"Scale Helm"						
770.gif	"Sphinx Helm"						
780.gif	"Brass Helm"						
790.gif	"Plate Helm"						
7100.gif	"Vine Helm"							
7110.gif	"Silk Helm"							
7120.gif	"Wind Helm"							
7130.gif	"Spirit Helm"						
7140.gif	"Guardian Helm"						
7160.gif	"Black Dragon Helm"					
7170.gif	"Dark Phoenix Helm"					
7180.gif	"Grand Soul Helm"					
7190.gif	"Divine Helm"						
7210.gif	"Great Dragon Helm"					
7220.gif	"Dark Soul Helm"					
7240.gif	"Red Spirit Helm"					
7250.gif	"Light Plate Helm"					
7260.gif	"Adamantine Helm"					
7270.gif	"Dark Steel Helm"					
7280.gif	"Dark Master Helm"					
7290.gif	"Dragon Knight Helm"				
7300.gif	"Venom Mist Helm"					
7310.gif	"Sylphid Ray Helm"					
7330.gif	"Sunlight Helm"						
7340.gif	"Ashcrow Helm"						
7350.gif	"Eclipse Helm"						
7360.gif	"Iris Helm"							
7380.gif	"Glorious Helm"						
7390.gif	"Archon Guardian Helm"				
800.gif	"Bronze Armor"						
810.gif	"Dragon Armor"						
820.gif	"Pad Armor"							
830.gif	"Legendary Armor"					
840.gif	"Bone Armor"						
850.gif	"Leather Armor"						
860.gif	"Scale Armor"						
870.gif	"Sphinx Armor"						
880.gif	"Brass Armor"						
890.gif	"Plate Armor"						
8100.gif	"Vine Armor"						
8110.gif	"Silk Armor"						
8120.gif	"Wind Armor"						
8130.gif	"Spirit Armor"						
8140.gif	"Guardian Armor"					
8150.gif	"Storm Crow Armor"					
8160.gif	"Black Dragon Armor"				
8170.gif	"Dark Phoenix Armor"				
8180.gif	"Grand Soul Armor"					
8190.gif	"Divine Armor"						
8200.gif	"Thunder Hawk Armor"				
8210.gif	"Great Dragon Armor"				
8220.gif	"Dark Soul Armor"					
8230.gif	"Hurricane Armor"					
8240.gif	"Red Spirit Armor"					
8250.gif	"Light Plate Armor"					
8260.gif	"Adamantine Armor"					
8270.gif	"Dark Steel Armor"					
8280.gif	"Dark Master Armor"					
8290.gif	"Dragon Knight Armor"				
8300.gif	"Venom Mist Armor"					
8310.gif	"Sylphid Ray Armor"					
8320.gif	"Volcano Armor"						
8330.gif	"Sunlight Armor"					
8340.gif	"Ashcrow Armor"						
8350.gif	"Eclipse Armor"						
8360.gif	"Iris Armor"						
8370.gif	"Valiant Armor"						
8380.gif	"Glorious Armor"					
8390.gif	"Archon Guardian Armor"				
900.gif	"Bronze Pants"						
910.gif	"Dragon Pants"						
920.gif	"Pad Pants"							
930.gif	"Legendary Pants"					
940.gif	"Bone Pants"						
950.gif	"Leather Pants"						
960.gif	"Scale Pants"						
970.gif	"Sphinx Pants"						
980.gif	"Brass Pants"						
990.gif	"Plate Pants"						
9100.gif	"Vine Pants"						
9110.gif	"Silk Pants"						
9120.gif	"Wind Pants"						
9130.gif	"Spirit Pants"						
9140.gif	"Guardian Pants"					
9150.gif	"Storm Crow Pants"					
9160.gif	"Black Dragon Pants"				
9170.gif	"Dark Phoenix Pants"				
9180.gif	"Grand Soul Pants"					
9190.gif	"Divine Pants"						
9200.gif	"Thunder Hawk Pants"				
9210.gif	"Great Dragon Pants"				
9220.gif	"Dark Soul Pants"					
9230.gif	"Hurricane Pants"					
9240.gif	"Red Spirit Pants"					
9250.gif	"Light Plate Pants"					
9260.gif	"Adamantine Pants"					
9270.gif	"Dark Steel Pants"					
9280.gif	"Dark Master Pants"					
9290.gif	"Dragon Knight Pants"				
9300.gif	"Venom Mist Pants"					
9310.gif	"Sylphid Ray Pants"					
9320.gif	"Volcano Pants"						
9330.gif	"Sunlight Pants"					
9340.gif	"Ashcrow Pants"						
9350.gif	"Eclipse Pants"						
9360.gif	"Iris Pants"						
9370.gif	"Valiant Pants"						
9380.gif	"Glorious Pants"					
9390.gif	"Archon Guardian Pants"				
1000.gif	"Bronze Gloves"						
1010.gif	"Dragon Gloves"						
1020.gif	"Pad Gloves"						
1030.gif	"Legendary Gloves"					
1040.gif	"Bone Gloves"						
1050.gif	"Leather Gloves"					
1060.gif	"Scale Gloves"						
1070.gif	"Sphinx Gloves"						
1080.gif	"Brass Gloves"						
1090.gif	"Plate Gloves"						
10100.gif	"Vine Gloves"						
10110.gif	"Silk Gloves"						
